名称,英文名,评分,评论数,图片 URL
朵云书院·旗舰店,Duoyun Academy Flagship Store,4.4,12,https://dimg04.c-ctrip.com/images/0102j12000b8msfki9A17_C_320_320.jpg
【上海】《大英图书馆·世界像素》展览,,4.9,10,https://dimg04.c-ctrip.com/images/1me1512000elt4jqsB505_C_320_320.jpg
漾·SPACE汤泉生活,Young·SPACE Hot Spring Hall,4.4,11,https://dimg04.c-ctrip.com/images/0101j12000bal447pCD7A_C_320_320.jpg
【上海】消失的法老—胡夫金字塔沉浸式探索体验展,,4.4,10,https://dimg04.c-ctrip.com/images/1lo3s12000cgi5h3057AE_C_320_320.jpg
上海佘山国家旅游度假区,Shanghai Sheshan National Tourism Resort,4.4,7,https://dimg04.c-ctrip.com/images/10010z000000nx0krD720_C_320_320.jpg
上海野生动物园-车入区,Roadway,4.5,6,https://dimg04.c-ctrip.com/images/0101y12000a2ysdhf5F4F_C_320_320.jpg
寒山寺,Shanghai Chongming Hanshan Temple,4.2,5,https://dimg04.c-ctrip.com/images/0104a120009ddfp9bE56C_C_320_320.jpg
【上海】中国国际进口博览会,,4.8,4,https://dimg04.c-ctrip.com/images/0106912000citwbchFBE3_C_320_320.jpg
【上海】《Case Lab元世界——福尔摩斯》大型沉浸式主题展,,5.0,2,https://dimg04.c-ctrip.com/images/0105m12000enramuk8590_C_320_320.png
国家会展中心(上海)虹馆EH,Hong Arena,4.0,2,https://dimg04.c-ctrip.com/images/10021h000001hvchu07E1_C_320_320.jpg
【上海】2024张韶涵世界巡回演唱会-上海站,,5.0,1,https://dimg04.c-ctrip.com/images/0100312000g93kzo4F803_C_320_320.jpg
2024上海马拉松,SHANGHAI MARATHON,5.0,1,https://dimg04.c-ctrip.com/images/0105w12000g3m7f195CCA_C_320_320.jpg
